Image ID,GT Label,GT Box,Best Pred Box,IoU,Status
000000,Pedestrian,"[712.4, 143.0, 810.73, 307.92]","[700.0, 140.0, 790.0, 303.0]",0.6722039903492817,TP
000001,Car,"[387.63, 181.54, 423.81, 203.12]","[386.0, 181.0, 424.0, 202.0]",0.8827951480319651,TP
000001,Cyclist,"[676.6, 163.95, 688.98, 193.93]",,0.0,FN
000002,Car,"[657.39, 190.13, 700.07, 223.39]","[659.0, 191.0, 701.0, 222.0]",0.8790383761903415,TP
000003,Car,"[614.24, 181.78, 727.31, 284.77]","[614.0, 181.0, 723.0, 286.0]",0.9421565277065594,TP
000004,Car,"[280.38, 185.1, 344.9, 215.59]","[279.0, 184.0, 345.0, 215.0]",0.925665146625818,TP
000004,Car,"[365.14, 184.54, 406.11, 205.2]","[364.0, 183.0, 406.0, 204.0]",0.8519572281118093,TP
000005,Pedestrian,"[330.06, 178.74, 360.77, 238.64]","[330.0, 178.0, 361.0, 239.0]",0.9727810682178731,TP
000006,Car,"[548.0, 171.33, 572.4, 194.42]",,0.0,FN
000006,Car,"[505.25, 168.37, 575.44, 209.18]","[504.0, 167.0, 575.0, 207.0]",0.8951602309546063,TP
000006,Car,"[49.7, 185.65, 227.42, 246.96]","[40.0, 181.0, 226.0, 243.0]",0.8208682386321925,TP
000006,Car,"[328.67, 170.65, 397.24, 204.16]","[329.0, 168.0, 397.0, 202.0]",0.8602972573595911,TP
000007,Car,"[564.62, 174.59, 616.43, 224.74]","[564.0, 174.0, 615.0, 225.0]",0.945314959753465,TP
000007,Car,"[481.59, 180.09, 512.55, 202.42]","[479.0, 180.0, 513.0, 202.0]",0.8913676052873363,TP
000007,Car,"[542.05, 175.55, 565.27, 193.79]","[542.0, 176.0, 564.0, 194.0]",0.9101445242112518,TP
000007,Cyclist,"[330.6, 176.09, 355.61, 213.6]","[329.0, 176.0, 356.0, 214.0]",0.9143519493177382,TP
000008,Car,"[0.0, 192.37, 402.31, 374.0]","[1.0, 180.0, 405.0, 372.0]",0.9176989239646223,TP
000008,Car,"[334.85, 178.94, 624.5, 372.04]","[335.0, 174.0, 622.0, 361.0]",0.9111064244232199,TP
000008,Car,"[937.29, 197.39, 1241.0, 374.0]","[946.0, 198.0, 1241.0, 371.0]",0.9514670145737917,TP
000008,Car,"[597.59, 176.18, 720.9, 261.14]","[598.0, 175.0, 721.0, 262.0]",0.9725918255662976,TP
000008,Car,"[741.18, 168.83, 792.25, 208.43]","[736.0, 168.0, 790.0, 208.0]",0.842379469454242,TP
000008,Car,"[884.52, 178.31, 956.41, 240.18]","[886.0, 179.0, 957.0, 240.0]",0.957889897692913,TP
000008,Car,,"[761.0, 171.0, 804.0, 202.0]",0.0,FP
000009,Car,"[601.96, 177.01, 659.15, 229.51]","[601.0, 176.0, 658.0, 229.0]",0.936836457526047,TP
000009,Car,"[600.14, 177.09, 624.65, 193.31]",,0.0,FN
000009,Car,"[574.98, 178.64, 598.45, 194.01]","[573.0, 177.0, 595.0, 193.0]",0.6760480445821206,TP
000010,Car,"[1013.39, 182.46, 1241.0, 374.0]","[1006.0, 183.0, 1241.0, 373.0]",0.9610089078216285,TP
000010,Car,"[354.43, 185.52, 549.52, 294.49]","[359.0, 186.0, 544.0, 294.0]",0.9398391331262518,TP
000010,Pedestrian,"[859.54, 159.8, 879.68, 221.4]",,0.0,FN
000010,Car,"[819.63, 178.12, 926.85, 251.56]","[820.0, 178.0, 927.0, 253.0]",0.9745275213169794,TP
000010,Car,"[800.54, 178.06, 878.75, 230.56]","[800.0, 176.0, 876.0, 233.0]",0.8850129848370615,TP
000010,Car,"[558.55, 179.04, 635.05, 230.61]","[559.0, 178.0, 633.0, 228.0]",0.9007910115823585,TP
000010,Car,"[598.3, 178.68, 652.25, 218.17]","[596.0, 178.0, 652.0, 217.0]",0.9118547579287745,TP
000010,Car,"[784.59, 178.04, 839.98, 220.1]","[784.0, 175.0, 841.0, 217.0]",0.8410908641626935,TP
000010,Car,"[663.74, 175.36, 707.21, 204.15]","[662.0, 176.0, 706.0, 201.0]",0.8158292968508986,TP
000010,Car,,"[626.0, 175.0, 664.0, 208.0]",0.0,FP
000011,Pedestrian,"[883.68, 144.15, 937.35, 259.01]","[881.0, 151.0, 938.0, 256.0]",0.865088873265552,TP
000011,Pedestrian,"[873.7, 152.1, 933.44, 256.07]","[881.0, 151.0, 938.0, 256.0]",0.8074684588792816,TP
000011,Car,"[444.29, 171.04, 504.95, 225.82]","[444.0, 172.0, 506.0, 226.0]",0.9584548752029213,TP
000011,Pedestrian,"[649.28, 168.1, 664.61, 206.4]","[649.0, 171.0, 663.0, 206.0]",0.8044373043141767,TP
000011,Car,"[0.0, 217.12, 85.92, 374.0]",,0.0,FN
000011,Pedestrian,"[240.35, 190.31, 268.02, 261.61]","[241.0, 191.0, 271.0, 260.0]",0.8558125785233898,TP
000012,Car,"[662.2, 185.85, 690.21, 205.03]","[661.0, 185.0, 691.0, 204.0]",0.8489291898158855,TP
000013,Car,"[455.7, 183.86, 533.81, 241.91]","[453.0, 186.0, 533.0, 246.0]",0.8622229581685982,TP
000014,Car,"[626.59, 176.07, 654.95, 194.24]","[626.0, 176.0, 654.0, 194.0]",0.9310802385344471,TP
000015,Car,"[0.0, 194.7, 414.71, 373.0]","[3.0, 191.0, 408.0, 371.0]",0.946451169653203,TP
000015,Pedestrian,"[1021.76, 133.28, 1101.39, 316.63]","[1010.0, 142.0, 1095.0, 314.0]",0.7578277423097632,TP
000015,Pedestrian,"[672.23, 171.73, 690.13, 224.33]",,0.0,FN
000015,Pedestrian,"[692.68, 169.14, 712.48, 224.03]",,0.0,FN
000015,Pedestrian,"[537.84, 168.08, 560.9, 224.34]",,0.0,FN
000016,Car,"[661.23, 174.85, 694.38, 197.63]","[660.0, 174.0, 694.0, 197.0]",0.8946803377042939,TP
000016,Car,"[684.49, 172.19, 733.85, 205.26]","[686.0, 172.0, 732.0, 204.0]",0.8916471347565305,TP
000016,Car,"[0.0, 193.56, 386.2, 374.0]","[0.0, 193.0, 386.0, 373.0]",0.9908694000671338,TP
000016,Car,"[494.45, 181.84, 527.48, 205.27]","[492.0, 179.0, 527.0, 204.0]",0.7776193855678325,TP
000017,Car,"[728.25, 173.97, 791.57, 200.2]","[728.0, 173.0, 789.0, 198.0]",0.8457536642242848,TP
000018,Car,"[523.41, 194.53, 550.65, 219.39]","[520.0, 194.0, 551.0, 218.0]",0.8176909629761513,TP
000019,Car,"[742.41, 184.49, 944.56, 321.39]","[746.0, 182.0, 944.0, 319.0]",0.9455264791458059,TP
000019,Car,"[551.01, 184.06, 575.42, 204.29]","[548.0, 182.0, 574.0, 204.0]",0.7547338735979661,TP
000020,Car,"[685.05, 181.43, 804.68, 258.21]","[683.0, 181.0, 802.0, 258.0]",0.9533213030237562,TP
000021,Cyclist,"[1056.16, 190.5, 1241.0, 374.0]","[1053.0, 173.0, 1242.0, 372.0]",0.8833033005201589,TP
000021,Car,"[359.43, 179.3, 516.3, 270.97]","[359.0, 176.0, 517.0, 272.0]",0.9480665150316454,TP
